,lat,lon,date,temp,pop
103,45.1876,5.7358,2024-07-08,22.73,0.0
104,45.1876,5.7358,2024-07-09,25.34,0.0
105,45.1876,5.7358,2024-07-10,25.42,0.09
106,45.1876,5.7358,2024-07-11,25.27,0.17
107,45.1876,5.7358,2024-07-12,22.11,0.96
108,45.7578,4.832,2024-07-07,20.45,0.0
109,45.7578,4.832,2024-07-08,20.89,0.0
110,45.7578,4.832,2024-07-09,24.27,0.0
111,45.7578,4.832,2024-07-10,24.82,0.08
112,45.7578,4.832,2024-07-11,24.68,0.22
113,45.7578,4.832,2024-07-12,20.45,0.68
114,45.8992,6.1289,2024-07-07,18.69,0.0
115,45.8992,6.1289,2024-07-08,20.34,0.0
116,45.8992,6.1289,2024-07-09,23.37,0.0
117,45.8992,6.1289,2024-07-10,23.77,0.07
118,45.8992,6.1289,2024-07-11,23.33,0.17
119,45.8992,6.1289,2024-07-12,19.13,0.88
120,46.1591,-1.152,2024-07-07,18.28,0.0
121,46.1591,-1.152,2024-07-08,18.27,0.0
122,46.1591,-1.152,2024-07-09,19.4,0.58
123,46.1591,-1.152,2024-07-10,19.26,0.16
124,46.1591,-1.152,2024-07-11,18.64,0.0
125,46.1591,-1.152,2024-07-12,17.44,0.04
126,47.238,6.0244,2024-07-07,17.53,0.0
127,47.238,6.0244,2024-07-08,18.29,0.0
128,47.238,6.0244,2024-07-09,23.24,0.0
129,47.238,6.0244,2024-07-10,21.14,0.15
130,47.238,6.0244,2024-07-11,21.41,0.22
131,47.238,6.0244,2024-07-12,19.75,0.48
132,47.3216,5.0415,2024-07-07,17.53,0.07
133,47.3216,5.0415,2024-07-08,17.25,0.0
134,47.3216,5.0415,2024-07-09,21.84,0.09
135,47.3216,5.0415,2024-07-10,20.24,0.91
136,47.3216,5.0415,2024-07-11,21.04,0.48
137,47.3216,5.0415,2024-07-12,20.0,0.34
138,48.0448,7.308,2024-07-07,18.3,0.0
139,48.0448,7.308,2024-07-08,18.04,0.0
140,48.0448,7.308,2024-07-09,23.35,0.0
141,48.0448,7.308,2024-07-10,22.56,0.31
142,48.0448,7.308,2024-07-11,21.99,0.62
143,48.0448,7.308,2024-07-12,19.41,0.64
144,48.0778,7.358,2024-07-07,18.44,0.07
145,48.0778,7.358,2024-07-08,18.21,0.0
146,48.0778,7.358,2024-07-09,23.44,0.0
147,48.0778,7.358,2024-07-10,22.79,0.4
148,48.0778,7.358,2024-07-11,22.12,0.64
149,48.0778,7.358,2024-07-12,19.66,0.66
150,48.2495,7.3455,2024-07-07,15.33,0.13
151,48.2495,7.3455,2024-07-08,15.53,0.0
152,48.2495,7.3455,2024-07-09,20.77,0.0
153,48.2495,7.3455,2024-07-10,20.04,0.59
154,48.2495,7.3455,2024-07-11,19.16,0.63
155,48.2495,7.3455,2024-07-12,17.04,0.66
156,48.5846,7.7507,2024-07-07,18.8,0.0
157,48.5846,7.7507,2024-07-08,18.2,0.0
158,48.5846,7.7507,2024-07-09,22.73,0.0
159,48.5846,7.7507,2024-07-10,22.04,0.73
160,48.5846,7.7507,2024-07-11,21.7,0.55
161,48.5846,7.7507,2024-07-12,19.33,0.61
162,48.636,-1.5115,2024-07-07,15.32,0.67
163,48.636,-1.5115,2024-07-08,14.98,0.33
164,48.636,-1.5115,2024-07-09,17.26,0.73
165,48.636,-1.5115,2024-07-10,18.35,0.9
166,48.636,-1.5115,2024-07-11,17.08,0.41
167,48.636,-1.5115,2024-07-12,16.23,0.66
168,48.6495,-2.026,2024-07-07,16.15,0.73
169,48.6495,-2.026,2024-07-08,15.43,0.52
170,48.6495,-2.026,2024-07-09,17.65,0.59
171,48.6495,-2.026,2024-07-10,18.2,0.71
172,48.6495,-2.026,2024-07-11,16.91,0.27
173,48.6495,-2.026,2024-07-12,16.33,0.45
174,48.8589,2.32,2024-07-07,19.62,0.0
175,48.8589,2.32,2024-07-08,17.72,0.0
176,48.8589,2.32,2024-07-09,21.4,0.02
177,48.8589,2.32,2024-07-10,20.46,0.74
178,48.8589,2.32,2024-07-11,21.82,0.22
